resume,model,personal_info_score,education_precision,education_recall,education_f1,education_field_accuracy,experience_precision,experience_recall,experience_f1,experience_field_accuracy,publication_summary_score
R-001,llama3.1_8b,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9465087938810737,1.0,1.0,1.0,0.9020326110312227,0.96
R-002,llama3.1_8b,0.8490072639225181,0.4,0.4,0.4000000000000001,0.9523076923076923,0.5,0.5,0.5,0.40384615384615385,0.78
R-003,llama3.1_8b,0.99447300060797,1.0,1.0,1.0,0.8814758243705612,1.0,1.0,1.0,0.9081400960857667,0.82
R-004,llama3.1_8b,0.6727337311736289,1.0,1.0,1.0,0.7899367901878662,0.875,0.875,0.875,0.5390821481192906,1.0
R-005,llama3.1_8b,0.823529411764706,1.0,1.0,1.0,0.66875,1.0,1.0,1.0,0.4994094196942298,1.0
R-006,llama3.1_8b,0.8,1.0,1.0,1.0,0.6949843764918672,0.0,1.0,0.0,,0.7666666666666667
R-007,llama3.1_8b,0.6976957318669809,0.5,0.5,0.5,0.9174788015828151,1.0,1.0,1.0,0.777985285795133,0.923076923076923
R-008,llama3.1_8b,0.8318042813455658,1.0,1.0,1.0,0.7425160658055395,1.0,1.0,1.0,0.9177045177045177,0.75
R-009,llama3.1_8b,0.9947916666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6147485527616974,1.0,1.0,1.0,0.6101833948773214,0.8478260869565217
R-010,llama3.1_8b,0.8250728862973761,0.4,0.4,0.4000000000000001,0.5561452246383753,1.0,1.0,1.0,0.508757758422518,0.8400000000000001
R-001,mistral_7b,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8387501731914184,1.0,1.0,1.0,0.9645326110312227,0.96
R-002,mistral_7b,0.8747135217723453,0.6,0.6,0.6,0.7711060005678277,1.0,1.0,1.0,0.6115384615384616,0.6666666666666667
R-003,mistral_7b,0.9960013146362839,0.2,0.2,0.20000000000000004,0.5551470588235294,1.0,1.0,1.0,0.9774581912485893,0.76
R-004,mistral_7b,0.6786160841148053,1.0,1.0,1.0,0.7686690063545479,0.8571428571428571,0.75,0.7999999999999999,0.8319673740925987,0.75
R-005,mistral_7b,0.9545454545454546,1.0,1.0,1.0,0.6842261904761905,1.0,1.0,1.0,0.875,1.0
R-006,mistral_7b,1.0,1.0,1.0,1.0,0.6914731920971464,0.0,1.0,0.0,,1.0
R-007,mistral_7b,0.8178232567450497,0.5,0.5,0.5,0.6208121349161485,1.0,1.0,1.0,0.8113186191284663,0.923076923076923
R-008,mistral_7b,0.9984709480122325,1.0,1.0,1.0,0.7613805346700083,1.0,1.0,1.0,0.8957264957264958,0.65
R-009,mistral_7b,0.9947916666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5601184938415775,1.0,1.0,1.0,0.6403051469290039,0.636231884057971
R-010,mistral_7b,0.6275226797740888,0.4,0.4,0.4000000000000001,0.6168613177557842,0.6666666666666666,1.0,0.8,0.8676970788315326,1.0
R-001,qwen2.5_7b,0.8532818532818532,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9489155575753461,1.0,1.0,1.0,0.9020326110312227,0.96
R-002,qwen2.5_7b,0.763812458727713,1.0,1.0,1.0,0.9566087061087061,1.0,1.0,1.0,0.4875195456717195,0.8066666666666666
R-003,qwen2.5_7b,0.8166825210303471,1.0,1.0,1.0,0.5806697241526964,1.0,1.0,1.0,0.9269850785542274,0.82
R-004,qwen2.5_7b,0.7063938618925831,1.0,1.0,1.0,0.715487619839828,0.875,0.875,0.875,0.5812739716466805,0.7916666666666666
R-005,qwen2.5_7b,0.8333333333333334,1.0,1.0,1.0,0.6446287878787879,0.5,0.5,0.5,0.7301110083256244,1.0
R-006,qwen2.5_7b,0.6,1.0,1.0,1.0,0.8376287048717342,0.0,1.0,0.0,,1.0
R-007,qwen2.5_7b,0.5246999512762636,0.5,0.5,0.5,0.6208121349161485,1.0,1.0,1.0,0.8113186191284663,0.9846153846153847
R-008,qwen2.5_7b,0.8206931702344545,1.0,1.0,1.0,0.6492332471450118,1.0,1.0,1.0,0.8920634920634921,0.8
R-009,qwen2.5_7b,0.7447916666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6859921106150196,0.6666666666666666,1.0,0.8,0.5125108592418975,0.9605797101449275
R-010,qwen2.5_7b,0.8250728862973761,0.4,0.4,0.4000000000000001,0.7021978562173227,0.6666666666666666,1.0,0.8,0.8543459937166357,1.0
