resume,pred_file,model,personal_info_score,education_precision,education_recall,education_f1,education_field_accuracy,experience_precision,experience_recall,experience_f1,experience_field_accuracy,publication_summary_score,highest_degree_score,overall_score,note
R-001_ground_truth,Resume-01.json,llama3.1_8b,1.0,1.0,1.0,1.0,0.5909522275899087,1.0,0.5555555555555556,0.7142857142857143,0.7634455128205128,0.8993031358885016,1.0,0.8525695129406625,ok
R-002_ground_truth,Resume-02.json,llama3.1_8b,1.0,1.0,1.0,1.0,0.9333333333333332,1.0,1.0,1.0,0.5236363636363637,1.0,1.0,0.9224242424242425,ok
R-003_ground_truth,Resume-03.json,llama3.1_8b,1.0,1.0,1.0,1.0,0.7649070629333788,1.0,1.0,1.0,0.6854418175388031,0.6,1.0,0.8643355543531689,ok
R-004_ground_truth,Resume-04.json,llama3.1_8b,0.9903846153846154,1.0,1.0,1.0,0.6545009609180557,1.0,0.7142857142857143,0.8333333333333333,0.7625803310613437,0.8101754385964913,1.0,0.8644249541848341,ok
R-005_ground_truth,Resume-05.json,llama3.1_8b,0.837037037037037,1.0,1.0,1.0,0.7145546662788042,1.0,1.0,1.0,0.5833672720719517,0.9572463768115942,1.0,0.8703150503141981,ok
R-006_ground_truth,Resume-06.json,llama3.1_8b,0.3333333333333333,1.0,1.0,1.0,0.8231248091865202,1.0,1.0,1.0,0.6632350624286107,0.72,0.30000000000000004,0.6913847435640663,ok
R-007_ground_truth,Resume-07.json,llama3.1_8b,0.9183673469387756,1.0,1.0,1.0,0.8400252525252525,1.0,1.0,1.0,0.5122997892678296,0.6,1.0,0.8386703412474082,ok
R-008_ground_truth,Resume-08.json,llama3.1_8b,0.8354309001558192,1.0,1.0,1.0,0.9333333333333332,1.0,1.0,1.0,0.6337849650349651,0.4862068965517241,1.0,0.8412508707251202,ok
R-009_ground_truth,Resume-09.json,llama3.1_8b,0.8970588235294118,1.0,1.0,1.0,0.8843672456575682,1.0,0.8571428571428571,0.923076923076923,0.7048987021209244,0.0,1.0,0.7727716706264038,ok
R-010_ground_truth,Resume-10.json,llama3.1_8b,0.75,1.0,1.0,1.0,0.8473076923076923,1.0,0.625,0.7692307692307693,0.9117525485267421,0.4,1.0,0.8111844300093148,ok
R-001_ground_truth,Resume-01.json,mistral_7b,1.0,1.0,1.0,1.0,0.9333333333333332,1.0,1.0,1.0,0.9512197293447294,0.874920634920635,1.0,0.9656390996569567,ok
R-002_ground_truth,Resume-02.json,mistral_7b,1.0,1.0,1.0,1.0,0.9333333333333332,0.5,1.0,0.6666666666666666,0.7236363636363636,0.95,1.0,0.8962337662337662,ok
R-003_ground_truth,Resume-03.json,mistral_7b,0.9924242424242424,1.0,1.0,1.0,0.8264455244718404,1.0,0.7142857142857143,0.8333333333333333,0.8523805624733907,0.6,1.0,0.8720833803861152,ok
R-004_ground_truth,Resume-04.json,mistral_7b,0.99,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4870313383216609,1.0,0.42857142857142855,0.6,0.8002442002442002,0.6421052631578947,1.0,0.7408639240557747,ok
R-005_ground_truth,Resume-05.json,mistral_7b,0.6,1.0,0.6,0.7499999999999999,0.7711417018763346,1.0,0.6,0.7499999999999999,0.5876928032542954,0.8054545454545454,1.0,0.7520412929407394,ok
R-006_ground_truth,Resume-06.json,mistral_7b,0.6620370370370371,1.0,1.0,1.0,0.8156012646357473,1.0,1.0,1.0,0.2802993419405452,0.9141747572815534,0.30000000000000004,0.7103017715564118,ok
R-007_ground_truth,Resume-07.json,mistral_7b,0.9926470588235293,1.0,1.0,1.0,0.8400252525252525,1.0,0.6,0.7499999999999999,0.8409232512036251,0.6,1.0,0.8605136517932009,ok
R-008_ground_truth,Resume-08.json,mistral_7b,0.938455391872151,1.0,1.0,1.0,0.9333333333333332,1.0,0.875,0.9333333333333333,0.8965088884129363,0.6539130434782608,1.0,0.9079348557757163,ok
R-009_ground_truth,Resume-09.json,mistral_7b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.19999999999999996,0.033333333333333326,ok
R-010_ground_truth,Resume-10.json,mistral_7b,0.75,1.0,1.0,1.0,0.9923076923076923,1.0,1.0,1.0,0.6460310793070473,0.45432639649507117,1.0,0.8346664525871158,ok
R-001_ground_truth,Resume-01.json,qwen2.5_7b,1.0,1.0,1.0,1.0,0.9333333333333332,1.0,1.0,1.0,0.7079987023551444,0.8632478632478632,1.0,0.9292256998480486,ok
R-002_ground_truth,Resume-02.json,qwen2.5_7b,0.875,1.0,1.0,1.0,0.9333333333333332,0.14285714285714285,1.0,0.25,0.26153846153846155,1.0,1.0,0.7599816849816848,ok
R-003_ground_truth,Resume-03.json,qwen2.5_7b,1.0,1.0,1.0,1.0,0.8592592592592593,1.0,1.0,1.0,0.5650504559581043,0.8964218455743879,1.0,0.9029616515416787,ok
R-004_ground_truth,Resume-04.json,qwen2.5_7b,0.9903846153846154,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7682772657830921,1.0,0.8571428571428571,0.923076923076923,0.6978511265307495,0.9399122807017545,1.0,0.8551669825919717,ok
R-005_ground_truth,Resume-05.json,qwen2.5_7b,0.8,1.0,1.0,1.0,0.717380753235326,1.0,1.0,1.0,0.7547176587501478,0.9236363636363636,1.0,0.8851049679459768,ok
R-006_ground_truth,Resume-06.json,qwen2.5_7b,0.3333333333333333,1.0,1.0,1.0,0.8231248091865202,1.0,1.0,1.0,0.6401688231123714,0.8294117647058823,0.30000000000000004,0.7037198186197295,ok
R-007_ground_truth,Resume-07.json,qwen2.5_7b,0.9183673469387756,1.0,1.0,1.0,0.8023268398268398,1.0,1.0,1.0,0.4652218918099062,0.6,1.0,0.826559439796503,ok
R-008_ground_truth,Resume-08.json,qwen2.5_7b,0.7901234567901234,1.0,1.0,1.0,0.9333333333333332,1.0,0.75,0.8571428571428571,0.7357142857142857,0.5823089700996678,1.0,0.8426604147257525,ok
