resume,tool,f1,cer,bleu,ned
R-001,pymupdf,0.9979550102249489,0.09975103734439834,0.9550971439013979,0.09739945081570021
R-002,pymupdf,0.9691699604743083,0.10452927215189874,0.9083411192320837,0.10459384858044164
R-003,pymupdf,0.8998073217726396,0.09747292418772563,0.8323201434293138,0.09476483762597984
R-004,pymupdf,0.9565217391304348,0.06924434827173852,0.9159974531772512,0.06897331524197196
R-005,pymupdf,0.9801663467690339,0.0690846286701209,0.9579507597388855,0.06708927628103539
R-006,pymupdf,0.8934579439252336,0.10631229235880399,0.7042869228908991,0.10564986065366101
R-007,pymupdf,0.9952153110047847,0.044577227675819224,0.994387357550741,0.04332637691679521
R-008,pymupdf,0.981081081081081,0.009310653536257834,0.9684659934267541,0.009489704565801253
R-009,pymupdf,0.9155920281359905,0.07552474988556857,0.8991419190316218,0.07491413388633271
R-010,pymupdf,0.6259351620947631,0.39626592217763046,0.4429719401522305,0.39644041179549816
R-001,pdfplumber,0.9979550102249489,0.007136929460580913,0.9946217379387047,0.007136929460580913
R-002,pdfplumber,0.9676400947119179,0.10393591772151899,0.8747271840678097,0.10393591772151899
R-003,pdfplumber,0.8998073217726396,0.09848375451263539,0.8147446064261398,0.09848375451263539
R-004,pdfplumber,0.9551401869158878,0.04857354364785604,0.9149458129448697,0.04857354364785604
R-005,pdfplumber,0.9801663467690339,0.02436142168893737,0.9587747922706495,0.02436142168893737
R-006,pdfplumber,0.4401913875598086,0.16713519039100436,0.08101808649772531,0.16713519039100436
R-007,pdfplumber,0.9964867454487385,0.002228861383790961,0.9963042490895041,0.002275960170697013
R-008,pdfplumber,0.9918918918918919,0.011280214861235453,0.9683950494402309,0.011280214861235453
R-009,pdfplumber,0.91005291005291,0.07447851958412345,0.8896496608580655,0.07400909681611435
R-010,pdfplumber,0.6259351620947631,0.4212179375327168,0.43639888043214237,0.4212179375327168
R-001,pdfminer,0.9979550102249489,0.1045643153526971,0.9542265217228725,0.10357815442561205
R-002,pdfminer,0.9691699604743083,0.177314082278481,0.8922701901712239,0.16896551724137931
R-003,pdfminer,0.8998073217726396,0.1875812274368231,0.8176526845952071,0.17525092445853144
R-004,pdfminer,0.9565217391304348,0.12243038551335346,0.9144063302772502,0.11592650131247656
R-005,pdfminer,0.9801663467690339,0.10053631488046541,0.9370528409724458,0.09458428680396644
R-006,pdfminer,0.8917910447761195,0.13749041656018401,0.6799723123252837,0.13474470734744706
R-007,pdfminer,0.9964867454487385,0.12178119220372742,0.9327693188409181,0.11104905919752556
R-008,pdfminer,0.9959514170040487,0.05568487018800358,0.962349147233036,0.05560474588276961
R-009,pdfminer,0.9161290322580644,0.08742561956450663,0.8923011569505408,0.08622908622908623
R-010,pdfminer,0.6251556662515566,0.4367475135229454,0.44507357780731255,0.4372709823765486
